time,x,y,delta,v,yaw,yaw_rate,beta,steerv,accl,mean_steerv,mean_accl,std_steerv,std_accl,var_steerv,var_accl,ci_lo_steerv,ci_lo_accl,ci_hi_steerv,ci_hi_accl,u_star_steerv,u_star_accl,plan_time
0.0,-0.04408060014247894,-0.8491628766059875,0.0,0.0,3.403411865234375,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.01,-0.04452889785170555,-0.84928297996521,0.0,0.09282255172729492,3.403411865234375,0.0,0.0,-3.012965202331543,9.282255172729492,-3.1824958324432373,9.510000228881836,0.5542925596237183,0.5140853524208069,0.30724024772644043,0.2642837464809418,-4.268909454345703,8.502392768859863,-2.0960824489593506,10.517607688903809,-3.012965202331543,9.282255172729492,0.007312717993045226
0.02,-0.04587123543024063,-0.8496426939964294,0.0,0.1851171851158142,3.403411865234375,0.0,0.0,-2.9952967166900635,9.229463577270508,-3.1820571422576904,9.510000228881836,0.5555430054664612,0.5153055787086487,0.30862802267074585,0.26553982496261597,-4.27092170715332,8.500000953674316,-2.0931928157806396,10.519999504089355,-2.9952967166900635,9.229463577270508,0.0075225030013825744
0.03,-0.04810570925474167,-0.8502214550971985,-0.030129652470350266,0.2764955461025238,3.403299570083618,-0.025236936286091805,-0.015647700056433678,-3.024183988571167,9.141220092773438,-3.181514024734497,9.510000228881836,0.5567930340766907,0.5165329575538635,0.31001847982406616,0.26680630445480347,-4.272828102111816,8.49759578704834,-2.0901997089385986,10.522404670715332,-3.024183988571167,9.141220092773438,0.00745316399843432
0.04,-0.05124296247959137,-0.850981593132019,-0.06008261814713478,0.36890172958374023,3.4028513431549072,-0.06720560789108276,-0.031224187463521957,-3.008206367492676,9.25522518157959,-3.1691479682922363,9.510000228881836,0.5592542290687561,0.5189342498779297,0.31276530027389526,0.2692927420139313,-4.265286445617676,8.492889404296875,-2.073009490966797,10.527111053466797,-3.008206367492676,9.25522518157959,0.007001427991781384
0.05,-0.05529313534498215,-0.8518933057785034,-0.09032446146011353,0.46072354912757874,3.401897668838501,-0.1263723373413086,-0.046992577612400055,-2.9306561946868896,9.215107917785645,-3.1470773220062256,9.510000228881836,0.5618156790733337,0.5214652419090271,0.31563684344291687,0.27192598581314087,-4.248236179351807,8.48792839050293,-2.0459184646606445,10.532072067260742,-2.9306561946868896,9.215107917785645,0.0073659230110934
0.060000000000000005,-0.06025493144989014,-0.8529502153396606,-0.12040652334690094,0.5526793003082275,3.4004318714141846,-0.1577158272266388,-0.05096485838294029,-2.879573345184326,9.216512680053711,-3.1062076091766357,9.510000228881836,0.5644388198852539,0.524088978767395,0.3185911774635315,0.27466925978660583,-4.212507724761963,8.482786178588867,-1.9999074935913086,10.537214279174805,-2.879573345184326,9.216512680053711,0.007593867994728498
0.07,-0.06612222641706467,-0.8541656732559204,-0.14971308410167694,0.6439304947853088,3.3985562324523926,-0.21843962371349335,-0.05699929967522621,-2.7463135719299316,9.158010482788086,-3.0426411628723145,9.510000228881836,0.5677623152732849,0.5274950861930847,0.3223540484905243,0.278251051902771,-4.155455589294434,8.476109504699707,-1.9298269748687744,10.543890953063965,-2.7463135719299316,9.158010482788086,0.008914683989132755
0.08,-0.07289919257164001,-0.8555011749267578,-0.17850881814956665,0.7349199652671814,3.3960137367248535,-0.2930275797843933,-0.06527752429246902,-2.422557830810547,9.151061058044434,-2.9330124855041504,9.50999927520752,0.570974588394165,0.5308094024658203,0.32601198554039,0.2817586362361908,-4.052122592926025,8.469613075256348,-1.8139022588729858,10.550385475158691,-2.422557830810547,9.151061058044434,0.00708099000621587
0.09,-0.08059556782245636,-0.8569254279136658,-0.20597195625305176,0.8266574740409851,3.392672061920166,-0.3783934712409973,-0.07409504801034927,-1.9511926174163818,9.244331359863281,-2.739915609359741,9.50999927520752,0.5739133954048157,0.5338650941848755,0.32937657833099365,0.2850119471549988,-3.86478590965271,8.463624000549316,-1.6150453090667725,10.556374549865723,-1.9511926174163818,9.244331359863281,0.0071274220099439844
