time,x,y,delta,v,yaw,yaw_rate,beta,steerv,accl,plan_time
0.0,-0.04408060014247894,-0.8491628766059875,0.0,0.0,3.403411865234375,0.0,0.0,nan,nan,nan
0.01,-0.04453989490866661,-0.8492859601974487,0.0,0.09510000050067902,3.403411865234375,0.0,0.0,-3.1952147483825684,9.510000228881836,0.09991702199477004
0.02,-0.04591778293251991,-0.8496552109718323,0.0,0.19020000100135803,3.403411865234375,0.0,0.0,-3.1958584785461426,9.510000228881836,0.0036918690020684153
0.03,-0.04821961373090744,-0.8502501249313354,-0.0319521464407444,0.28526070713996887,3.4032890796661377,-0.027612948790192604,-0.01659466326236725,-3.1964004039764404,9.510000228881836,0.0027996680000796914
0.04,-0.05145566910505295,-0.8510289192199707,-0.06391073018312454,0.3801901638507843,3.4027981758117676,-0.07368675619363785,-0.033217452466487885,-3.1941936016082764,9.510000228881836,0.0027238910042797215
0.05,-0.05563303083181381,-0.8519580960273743,-0.09587473422288895,0.4749082922935486,3.4017536640167236,-0.1383153647184372,-0.049892764538526535,-3.190302848815918,9.510000228881836,0.0027240299968980253
0.060000000000000005,-0.06075219810009003,-0.8530313372612,-0.12781667709350586,0.5697707533836365,3.4001529216766357,-0.17218756675720215,-0.05391944944858551,-3.183152198791504,9.510000228881836,0.003304007994302083
0.07,-0.06680931895971298,-0.8542649745941162,-0.15971970558166504,0.6645017266273499,3.3981142044067383,-0.23750951886177063,-0.06000989302992821,-3.1735382080078125,9.510000228881836,0.00278520499705337
0.08,-0.07381229102611542,-0.8556179404258728,-0.19155122339725494,0.7590081691741943,3.395350933074951,-0.3187620937824249,-0.06864587217569351,-3.1556742191314697,9.510000228881836,0.002895587997045368
0.09,-0.08176733553409576,-0.8570529222488403,-0.22328659892082214,0.8532859683036804,3.3917055130004883,-0.41391831636428833,-0.07817550748586655,-3.1194427013397217,9.50999927520752,0.0027388899979996495
0.09999999999999999,-0.09067951142787933,-0.8585340976715088,-0.2548433542251587,0.9473311305046082,3.3870410919189453,-0.522182047367096,-0.08786781877279282,-3.043832778930664,9.50999927520752,0.002797665001708083
0.10999999999999999,-0.100552998483181,-0.8600249290466309,-0.28603777289390564,1.0411460399627686,3.3812308311462402,-0.6426500678062439,-0.09735912084579468,-2.8810946941375732,9.50999927520752,0.0028028789965901524
0.11999999999999998,-0.11139111965894699,-0.861487627029419,-0.31647610664367676,1.1347439289093018,3.3741586208343506,-0.77413010597229,-0.10641936957836151,-2.529135227203369,9.50999927520752,0.0026677749992813915
0.12999999999999998,-0.1231963038444519,-0.8628829121589661,-0.3452870547771454,1.2281564474105835,3.365723133087158,-0.9147759079933167,-0.11484093219041824,-1.815454125404358,9.50999927520752,0.002841667002940085
0.13999999999999999,-0.1359698325395584,-0.8641712069511414,-0.370578408241272,1.3214467763900757,3.3558475971221924,-1.0612274408340454,-0.1223527193069458,-0.6273794770240784,9.509998321533203,0.0030443700015894137
0.15,-0.14971165359020233,-0.8653148412704468,-0.3887329399585724,1.4147340059280396,3.344503164291382,-1.207112431526184,-0.12852609157562256,0.7465665340423584,9.509997367858887,0.002744805002294015
0.16,-0.16442014276981354,-0.8662829399108887,-0.3950067460536957,1.508215069770813,3.3317434787750244,-1.3419376611709595,-0.13273653388023376,1.7593815326690674,9.50999641418457,0.0028272700001252815
0.17,-0.18009236454963684,-0.8670575022697449,-0.3875410854816437,1.6021292209625244,3.3177411556243896,-1.4535642862319946,-0.1343589723110199,2.2615647315979004,9.509994506835938,0.003356266002811026
0.18000000000000002,-0.19672471284866333,-0.8676345348358154,-0.36994725465774536,1.6966495513916016,3.3027737140655518,-1.5341825485229492,-0.13314303755760193,2.4340016841888428,9.509990692138672,0.0027408839960116893
0.19000000000000003,-0.21431387960910797,-0.8680201768875122,-0.34733161330223083,1.791805624961853,3.287160873413086,-1.5830992460250854,-0.1293458640575409,2.447582960128784,9.50998306274414,0.0028262080013519153
0.20000000000000004,-0.23285718262195587,-0.8682239651679993,-0.32299157977104187,1.8875088691711426,3.271202802658081,-1.6041033267974854,-0.1235169768333435,2.393636703491211,9.509967803955078,0.0028924580037710257
0.21000000000000005,-0.25235259532928467,-0.868254542350769,-0.29851576685905457,1.9836198091506958,3.2551538944244385,-1.6020689010620117,-0.11624833941459656,2.3170571327209473,9.509942054748535,0.0027177180018043146
0.22000000000000006,-0.2727985680103302,-0.8681183457374573,-0.27457940578460693,2.07999587059021,3.239222288131714,-1.5813708305358887,-0.10805317014455795,2.2415826320648193,9.509897232055664,0.002795148000586778
0.23000000000000007,-0.29419389367103577,-0.8678193688392639,-0.25140881538391113,2.1765129566192627,3.223576068878174,-1.545509934425354,-0.09933614730834961,2.1802754402160645,9.5098237991333,0.0032542879998800345
0.24000000000000007,-0.3165375888347626,-0.8673597574234009,-0.2289929986000061,2.273073196411133,3.20835280418396,-1.4971424341201782,-0.09040015935897827,2.13934588432312,9.509706497192383,0.002711871995416004
0.25000000000000006,-0.3398287296295166,-0.8667406439781189,-0.20719024538993835,2.3696036338806152,3.1936676502227783,-1.4381946325302124,-0.08146363496780396,2.119866132736206,9.509526252746582,0.0028279709949856624
0.26000000000000006,-0.36406657099723816,-0.8659629225730896,-0.18579678237438202,2.4660532474517822,3.179619073867798,-1.3699895143508911,-0.07267923653125763,2.119291067123413,9.509256362915039,0.002768573998764623
0.2700000000000001,-0.3892504572868347,-0.8650280833244324,-0.16459812223911285,2.562387704849243,3.166295051574707,-1.2933790683746338,-0.06415100395679474,2.133173942565918,9.508862495422363,0.002715121998335235
0.2800000000000001,-0.4153798520565033,-0.8639388680458069,-0.14340521395206451,2.658585786819458,3.1537771224975586,-1.2088781595230103,-0.055949147790670395,2.1564605236053467,9.508301734924316,0.0028724520016112365
0.2900000000000001,-0.44245439767837524,-0.8627001047134399,-0.1220734715461731,2.7546350955963135,3.1421422958374023,-1.116790771484375,-0.048121798783540726,2.1847710609436035,9.507519721984863,0.002699245000258088
0.3000000000000001,-0.470473974943161,-0.8613187670707703,-0.10050886869430542,2.850529193878174,3.131465435028076,-1.0173187255859375,-0.040703799575567245,2.2147176265716553,9.506458282470703,0.0027608400050667115
0.3100000000000001,-0.4994385838508606,-0.8598048090934753,-0.07866115868091583,2.9462671279907227,3.121819496154785,-0.9106404781341553,-0.03372262045741081,2.8139703273773193,9.505088806152344,0.0027903619993594475
0.3200000000000001,-0.5293486714363098,-0.8581711053848267,-0.05651398003101349,3.0418701171875,3.1132755279541016,-0.7969597578048706,-0.027202105149626732,2.8652455806732178,9.505271911621094,0.002738062998105306
0.3300000000000001,-0.5602051019668579,-0.8564350008964539,-0.02837427705526352,3.137355089187622,3.1059184074401855,-0.6717642545700073,-0.02104535885155201,2.9008901119232178,9.505414962768555,0.0028132820007158443
0.34000000000000014,-0.5920093655586243,-0.8546232581138611,0.00027817784575745463,3.2327330112457275,3.0998878479003906,-0.532042920589447,-0.015215075574815273,2.9003093242645264,9.5057373046875,0.0028673869965132326
0.35000000000000014,-0.6247631907463074,-0.852767825126648,0.029287079349160194,3.328007698059082,3.095318555831909,-0.37985140085220337,-0.009805773384869099,2.885911226272583,9.506032943725586,0.003103814000496641
0.36000000000000015,-0.6584687829017639,-0.8509050607681274,0.05829017236828804,3.423189401626587,3.092325210571289,-0.2171901911497116,-0.004901666194200516,2.855123996734619,9.506295204162598,0.0027320279987179674
0.37000000000000016,-0.6931281089782715,-0.8490750193595886,0.08714928478002548,3.5182950496673584,3.0910027027130127,-0.046037107706069946,-0.000575547048356384,2.8046798706054688,9.506512641906738,0.002780003000225406
0.38000000000000017,-0.7287432551383972,-0.847321629524231,0.11570052802562714,3.613345146179199,3.091426134109497,0.13176347315311432,0.0031141971703618765,2.728512763977051,9.506686210632324,0.002942257000540849
0.3900000000000002,-0.7653158903121948,-0.8456923961639404,0.14374732971191406,3.7083611488342285,3.093653678894043,0.31439927220344543,0.006121088284999132,2.618527889251709,9.506814956665039,0.002881692002119962
0.4000000000000002,-0.8028473258018494,-0.8442385196685791,0.17103244364261627,3.8033652305603027,3.0977237224578857,0.4999912679195404,0.00840846262872219,2.46484112739563,9.506900787353516,0.0028084279983886518
0.4100000000000002,-0.8413380980491638,-0.8430140614509583,0.19721773266792297,3.898376226425171,3.103656053543091,0.6864829659461975,0.00994770135730505,2.2573325634002686,9.506943702697754,0.002786966993880924
0.4200000000000002,-0.8807878494262695,-0.842075765132904,0.22186614573001862,3.9934093952178955,3.111448287963867,0.8715250492095947,0.01071710605174303,1.987757682800293,9.506945610046387,0.002696342002309393
0.4300000000000002,-0.9211950898170471,-0.8414821624755859,0.24443946778774261,4.088473320007324,3.121072292327881,1.0523700714111328,0.010701758787035942,1.6548413038253784,9.506903648376465,0.0026930229942081496
0.4400000000000002,-0.9625568389892578,-0.841292679309845,0.26431703567504883,4.183570861816406,3.1324706077575684,1.2258033752441406,0.009894736111164093,1.2677392959594727,9.506813049316406,0.0029096979997120798
0.45000000000000023,-1.0048688650131226,-0.8415663242340088,0.28086546063423157,4.278695106506348,3.1455512046813965,1.3881642818450928,0.008300243876874447,0.8476052284240723,9.506661415100098,0.0030531249940395355
0.46000000000000024,-1.0481241941452026,-0.8423606157302856,0.29354286193847656,4.373658180236816,3.160186767578125,1.5361168384552002,0.005943652242422104,-0.6992759108543396,9.48928165435791,0.0027837540037580766
0.47000000000000025,-1.092314600944519,-0.843730092048645,0.3020189106464386,4.468629837036133,3.1762094497680664,1.6649421453475952,0.00285819242708385,-1.032128095626831,9.491304397583008,0.0028105079982196912
0.48000000000000026,-1.1374313831329346,-0.8457223176956177,0.29502615332603455,4.56357479095459,3.1933774948120117,1.761540412902832,-0.0010336850536987185,-1.2964805364608765,9.492900848388672,0.0027387319933041
0.49000000000000027,-1.1834653615951538,-0.8483690619468689,0.28470486402511597,4.658411979675293,3.2113029956817627,1.8169119358062744,-0.005649527534842491,-1.2185630798339844,9.490924835205078,0.002904470995417796
0.5000000000000002,-1.230406641960144,-0.851693868637085,0.27174004912376404,4.753096580505371,3.2295889854431152,1.834168553352356,-0.010702040046453476,-1.0884217023849487,9.488232612609863,0.0027751000015996397
0.5100000000000002,-1.278245449066162,-0.855715811252594,0.2595544159412384,4.8476033210754395,3.247880697250366,1.8195128440856934,-0.015896769240498543,-0.9077170491218567,9.484716415405273,0.0027524110046215355
0.5200000000000002,-1.3269717693328857,-0.8604522347450256,0.24867020547389984,4.9419426918029785,3.2659013271331787,1.7813247442245483,-0.020968247205018997,-0.7609055638313293,9.481348037719727,0.0028816730045946315
0.5300000000000002,-1.376575231552124,-0.865919291973114,0.239593043923378,5.0361456871032715,3.2834553718566895,1.7273987531661987,-0.02572377398610115,-0.6629197001457214,9.478280067443848,0.0027175389986950904
0.5400000000000003,-1.4270457029342651,-0.8721327185630798,0.2319839894771576,5.130253314971924,3.3004190921783447,1.6642628908157349,-0.030043425038456917,-0.6298428773880005,9.475702285766602,0.0028040030010743067
0.5500000000000003,-1.4783730506896973,-0.8791071772575378,0.22535479068756104,5.224305152893066,3.316725730895996,1.596562147140503,-0.03387349098920822,-0.6520059704780579,9.473441123962402,0.0030693619992234744
0.5600000000000003,-1.5305471420288086,-0.8868558406829834,0.21905635297298431,5.318332195281982,3.3323447704315186,1.5271027088165283,-0.037209246307611465,-0.7142610549926758,9.471235275268555,0.0028414110056473874
0.5700000000000003,-1.5835579633712769,-0.8953893780708313,0.2125362902879715,5.412353515625,3.34726619720459,1.45711350440979,-0.04007657244801521,-0.794773280620575,9.468697547912598,0.0027037180043407716
0.5800000000000003,-1.6373960971832275,-0.9047158360481262,0.2053936868906021,5.506377220153809,3.3614861965179443,1.3867268562316895,-0.04251454025506973,-0.8742928504943848,9.465428352355957,0.002700431003177073
0.5900000000000003,-1.6920526027679443,-0.9148399829864502,0.19744595885276794,5.600402355194092,3.3749983310699463,1.315489411354065,-0.04456225410103798,-0.937916100025177,9.461017608642578,0.002862764995370526
0.6000000000000003,-1.7475194931030273,-0.9257631301879883,0.1887030303478241,5.694422245025635,3.387791633605957,1.2428237199783325,-0.04625081643462181,-0.9778958559036255,9.455077171325684,0.00301694699737709
0.6100000000000003,-1.8037891387939453,-0.9374833703041077,0.17932386696338654,5.788426876068115,3.3998494148254395,1.168355107307434,-0.047600433230400085,-0.9918549656867981,9.44723129272461,0.0028721400012727827
0.6200000000000003,-1.8608548641204834,-0.9499958753585815,0.16954490542411804,5.882401466369629,3.411153554916382,1.092084527015686,-0.0486215278506279,-0.9818952679634094,9.437108039855957,0.002836509003827814
0.6300000000000003,-1.9187110662460327,-0.9632931351661682,0.15962634980678558,5.976329803466797,3.421687602996826,1.0144238471984863,-0.049318257719278336,-0.9532007575035095,9.424337387084961,0.0027413179996074177
0.6400000000000003,-1.977352499961853,-0.9773653149604797,0.149807408452034,6.070188045501709,3.431441068649292,0.9361345767974854,-0.04969276487827301,-0.9117107391357422,9.40853214263916,0.0028267310044611804
0.6500000000000004,-2.0367746353149414,-0.9922009706497192,0.14027538895606995,6.163947582244873,3.440412759780884,0.8582080602645874,-0.049749184399843216,-0.8634835481643677,9.38929557800293,0.0029169859990361147
0.6600000000000004,-2.0969736576080322,-1.0077869892120361,0.13115829229354858,6.257572174072266,3.4486114978790283,0.7817278504371643,-0.049496542662382126,-0.814067006111145,9.36618423461914,0.0027229090046603233
0.6700000000000004,-2.1579461097717285,-1.0241092443466187,0.12252344936132431,6.351015567779541,3.45605731010437,0.7077430486679077,-0.048950307071208954,-0.7672551870346069,9.338708877563477,0.0029299980014911853
0.6800000000000004,-2.2196884155273438,-1.0411525964736938,0.1143827810883522,6.444223880767822,3.4627795219421387,0.6371633410453796,-0.048132672905921936,-0.7255592942237854,9.306344032287598,0.002751642001385335
0.6900000000000004,-2.282197952270508,-1.0589008331298828,0.10671023279428482,6.5371317863464355,3.4688162803649902,0.5706906318664551,-0.04707174375653267,-0.6897729635238647,9.2684965133667,0.002744058998359833
0.7000000000000004,-2.3454713821411133,-1.077337384223938,0.09945464134216309,6.629666328430176,3.4742109775543213,0.508787989616394,-0.04579995945096016,-0.6600252389907837,9.224515914916992,0.0028177370040793903
0.7100000000000004,-2.409506320953369,-1.096445083618164,0.0925569087266922,6.721746921539307,3.479010581970215,0.45168033242225647,-0.04435214027762413,-0.6353859305381775,9.173762321472168,0.003571929002646357
